gene	edf_ref	edf_diff	p_ref	p_diff	padj_ref	padj_diff	classification	peak_time	peak_val	highlight	label	response	module
ABLIM3	2.7183063576831	1.00004256390791	0.00575482283898776	0.000172226625124505	0.0681406693209641	0.0220656339590654	Condition-specific dynamics	7	-1.55632290202638	FALSE		Late	1
ACTB	1.00002299832757	3.10629346621974	0.0254155855581301	3.07900916057813e-06	0.173044894530928	0.00130812573856154	Condition-specific dynamics	7	-1.43457595627321	FALSE		Late	2
ACTG1	1.28068438921252	2.21573447372727	0.178105198161554	0.000201353331772014	0.462076989417547	0.0240045973845783	Condition-specific dynamics	7	-0.841612262170651	FALSE		Late	1
ACTR2	2.98266367713677	3.18959040440982	0.000458946168653607	0.000278348675445461	0.0136954145390691	0.0310184805199536	Differential dynamics	1	-2.10513464436178	FALSE		Early	1
AEBP2	1.44406616916642	1.00010763739879	0.0497173662078719	0.000283606201935016	0.253356237923895	0.0313595435480727	Condition-specific dynamics	1	-1.71972887171097	FALSE		Early	2
AMZ2	1.00002870697181	2.3641695033598	0.00010040837423192	0.000190474372301075	0.00458191392556279	0.0234217797112287	Differential dynamics	1	-2.64999979915824	FALSE		Early	2
ANP32B	1.00001438203289	1.52966179384996	0.181371639949811	4.51704823845045e-06	0.465873933482044	0.00175721389290701	Condition-specific dynamics	7	-2.16872780302392	FALSE		Late	3
AP1M2	1.00000464528825	3.26464593741512	1	0.000411323926453988	1	0.041066056020829	Condition-specific dynamics	7	-0.537108782151546	FALSE		Late	2
AP3D1	1.0000310834155	3.60471129654139	0.00443858670798974	0.00016463344379114	0.0581555426847205	0.0212198624298508	Condition-specific dynamics	1	0.968995817344387	FALSE		Early	4
ARPC3	1.00009934181944	1.00004106915405	0.198897936586428	0.000146841603663517	0.48791793753763	0.0193939688394111	Condition-specific dynamics	1	1.32330542364704	FALSE		Early	3
ATOH8	2.38658102186716	3.33876773122235	0	4.38768200090034e-05	0	0.00823498632379506	Differential dynamics	1	-2.14914781109569	TRUE	ATOH8	Early	1
ATP5E	1.00001301312778	1.81355424715449	0.0125174474909999	0.00010272138481715	0.110911096171847	0.0152672628829899	Condition-specific dynamics	7	-1.17889925881327	FALSE		Late	3
ATP5G1	1.00004175687178	2.60208521288995	0.224111124117386	2.99394855138857e-05	0.520499045659779	0.00660397146448555	Condition-specific dynamics	7	-2.03193261625053	FALSE		Late	3
ATP5J2	1.00002109440891	1.00002316952607	0.11183918541023	8.10313739241231e-06	0.372959976782618	0.00275197980393736	Condition-specific dynamics	7	-1.77558714562557	FALSE		Late	1
ATP5L	1.00001896611101	1.07709741378152	0.52383983608857	0.00023108242813652	0.794673648110539	0.0267256196346431	Condition-specific dynamics	1	0.791387645489266	FALSE		Early	3
BACE2	1.85499074429052	1.97625869960523	0	4.10344618106406e-05	0	0.00793866113367543	Differential dynamics	1	-2.32824548633544	TRUE	BACE2	Early	1
BAHD1	1.53972298205998	1.00006563823109	0.00221796895661364	0.000253228751922907	0.0381476397071586	0.0283669234353012	Differential dynamics	7	1.7259141671226	TRUE	BAHD1	Late	2
BCAN	1.00003593312988	2.89780310572038	0.483544470071165	0.000195189883322011	0.770712529583628	0.0235971368768328	Condition-specific dynamics	7	-0.313686359019222	FALSE		Late	3
BCYRN1	1.84068417967617	2.14565640022795	0.472801692511574	8.9761763671925e-07	0.765511335906452	0.000533484082090141	Condition-specific dynamics	7	-0.624320991304149	FALSE		Late	3
C11orf44	2.65410417157572	3.83464724426279	0.00515857642792072	9.20208750997409e-05	0.0637256935633902	0.0142672365480729	Condition-specific dynamics	2.09090909090909	-0.732348536777093	FALSE		Intermediate	2
C12orf56	1.00001555866019	3.51000919093109	0.431150119976115	0.000377980018550494	0.731843551527881	0.0390688911927844	Condition-specific dynamics	3.72727272727273	-0.305663419049395	FALSE		Intermediate	4
C19orf53	1.30237516161038	2.77913009067028	0.737748563640052	0.000417716395724244	0.935214963174082	0.0411864516263406	Condition-specific dynamics	1	1.89064754262111	FALSE		Early	3
C1orf177	1.00000353697858	3.63496766817246	0.676590331568014	1.01154208101972e-05	0.895923179491844	0.00323029169634298	Condition-specific dynamics	1	-0.863599977411013	FALSE		Early	1
C1orf54	1.0000269418526	1.00001344582147	0.000277829674033281	0.000326744246193444	0.00965007095067545	0.0344803943447094	Differential dynamics	1	-1.18706546586527	FALSE		Early	2
C6orf201	1.00001599604651	3.83836265417945	1	1.70093947330363e-05	1	0.00478859223300059	Condition-specific dynamics	3.90909090909091	-0.29820131769383	FALSE		Intermediate	2
CALD1	1.80048587361984	1.00000611093472	0.0221422348471376	0.00012861987207935	0.159406210225221	0.0177583308910229	Condition-specific dynamics	7	-2.75052883894606	FALSE		Late	1
CALM2	1.00000538138245	1.00000470184037	0.507074135133122	8.55249631037669e-06	0.782823088768196	0.00285920642276281	Condition-specific dynamics	7	-2.18251019819842	FALSE		Late	3
CAP1	1.00000470336059	1.00001925168639	0.998394299305969	0.000237712198881135	1	0.0271983433543356	Condition-specific dynamics	1	1.59075949403187	FALSE		Early	1
CARD16	1.4158424727954	1.95302946735699	0.336063893936218	0.000340898622646746	0.646799619154011	0.0355798386836574	Condition-specific dynamics	7	-2.17549541962327	FALSE		Late	4
CD248	1.00001834835315	3.37339984522644	0.671554331639463	5.97494719478675e-07	0.89301283280037	0.000440827483378129	Condition-specific dynamics	7	-1.82428552997204	FALSE		Late	2
CENPB	1.00001785120923	1.00001542500706	0.0014816624097172	4.15535872865802e-05	0.0295173639835281	0.00793866113367543	Differential dynamics	7	-1.08595992352067	FALSE		Late	1
CENPM	1.0000069034801	3.88228803337013	1	6.99458923614227e-07	1	0.000467675722801562	Condition-specific dynamics	5.78787878787879	-0.977063588681593	FALSE		Intermediate	1
CFL1	1.00016212186485	3.19957725529977	0.635688184178117	4.57343394266729e-07	0.869418587872347	0.000362419231990035	Condition-specific dynamics	7	-1.6202168748753	FALSE		Late	3
COL7A1	1.75555576502014	1.0002034356863	0.784580945397733	0.000204189415030531	0.961283508430962	0.0240045973845783	Condition-specific dynamics	7	-2.0174401961098	FALSE		Late	4
COX6B1	1.00000832994988	1.00001899899327	0.765144824049075	1.37602510081325e-05	0.950699108905576	0.00397857203472977	Condition-specific dynamics	7	-2.02748261335392	FALSE		Late	3
COX8A	2.17411747483136	3.38177145748247	0.0949690076470108	0.000482672017051378	0.340325110313688	0.0461037967715682	Condition-specific dynamics	5.36363636363636	-1.32872772950233	TRUE	COX8A	Intermediate	4
CPZ	1.00001601040474	3.10484073614683	0.403513520785226	0.000207221069218666	0.707670105796778	0.0242278797650414	Condition-specific dynamics	7	-1.06703987809865	FALSE		Late	3
CRTAP	1.27436439092041	2.56774175345126	0.532372386617994	0.000286103593946374	0.799904465174059	0.0313921666465468	Condition-specific dynamics	7	-2.08367874886652	FALSE		Late	3
CSRP2	1.00011474034078	2.88157181099782	0.737697345714054	0.000112445158675922	0.935214963174082	0.0160391774335336	Condition-specific dynamics	7	-1.85617341309517	FALSE		Late	1
DBNDD2	2.56677316155457	2.48180190835073	0.00153857763005016	4.55687856623088e-05	0.0301459770810928	0.00840508394854103	Differential dynamics	1	2.63110070067687	TRUE	DBNDD2	Early	3
DIO2	1.2755522725825	2.35182201672118	0.778930498357476	0.00010320554079285	0.958587193308211	0.0152672628829899	Condition-specific dynamics	7	-2.17635295751831	FALSE		Late	4
DMAP1	2.47829050314917	1.0000301357933	0.089377950950607	0.000284340598631805	0.32911497068021	0.0313595435480727	Condition-specific dynamics	1	1.93733976093214	FALSE		Early	3
DNAJB2	1.00011867076026	3.44499292392362	0.686567718593678	1.15428289078623e-05	0.903172614919938	0.00347845587764256	Condition-specific dynamics	1	1.9816310431162	FALSE		Early	2
DNALI1	1.00010954584571	3.47924250190178	0.357070147372826	0.000195172198254656	0.669811754619409	0.0235971368768328	Condition-specific dynamics	1	-1.44363977501734	FALSE		Early	2
DSP	2.25664444089646	2.62705447050529	0.170361160764999	1.14281722818355e-06	0.452576036221496	0.000626967113185004	Condition-specific dynamics	7	-3.4635742607477	FALSE		Late	4
DUSP3	3.2771528353092	3.05499884900535	8.9329574883168e-05	6.89925326264884e-05	0.00423701556878223	0.0116233403785539	Differential dynamics	1	-2.00658820263702	TRUE	DUSP3	Early	1
EEF1G	1.00000357339537	1.00000321340833	0.545861907920821	0.000508154258381854	0.808533152085419	0.0472716022275572	Condition-specific dynamics	7	-0.78472449630496	FALSE		Late	1
EIF3A	1.00002551165588	1.00000429686275	0.822153926400385	3.3744595423324e-05	0.981551946980533	0.00705787493324863	Condition-specific dynamics	7	-1.6637831070575	FALSE		Late	3
EIF5A	1.4652324068818	1.80861897215198	0.227055000070763	0.000246739633336102	0.524064769165676	0.0279324930944933	Condition-specific dynamics	7	-1.45189062735936	FALSE		Late	3
EN1	1.00003778177865	3.3415573401715	0	0.00018311336461091	0	0.0226467835214741	Differential dynamics	1	-0.56852549300023	FALSE		Early	1
EPHB3	1.00000241861415	3.4509008174902	0.643339217543369	0.000252915779733909	0.874464010676957	0.0283669234353012	Condition-specific dynamics	1	-0.686032094591062	FALSE		Early	1
FAIM3	1.00001646472818	2.50295348838991	0.542066449153299	2.98704211796341e-05	0.806148171688607	0.00660397146448555	Condition-specific dynamics	7	-0.628116485811623	FALSE		Late	3
FAM127A	2.27448168126571	1.00000716186132	0.0718094661955703	0.000181262790784564	0.292819390478358	0.022548248090852	Condition-specific dynamics	7	-2.311637583217	FALSE		Late	3
FAU	1.00000847131433	1.00001207268714	0.593445633881363	8.96245307646093e-05	0.841994105839336	0.0141000475017616	Condition-specific dynamics	7	-0.977863086427758	FALSE		Late	1
FOXO3B	1.00007687475219	2.90952514141028	0.00430210235353079	0.000105253452035936	0.0569250352233425	0.0154012738720478	Condition-specific dynamics	3.54545454545455	-1.39795497736674	TRUE	FOXO3B	Intermediate	4
FRMD8	1.00029158824431	1.02929082938991	4.5917712458432e-06	6.52669153187735e-05	0.000452625866125023	0.0112617009690361	Differential dynamics	1	-1.61688016397815	FALSE		Early	2
GAPDH	1.00000773567347	2.54650714252619	0.426815904186717	2.20310607401686e-06	0.728286048378075	0.00100292888424819	Condition-specific dynamics	7	-1.49887875400916	FALSE		Late	1
GIMAP5	1.00000728404481	3.65189326348594	0.698800274919272	0.000297796190220856	0.911567533360123	0.0320183280701781	Condition-specific dynamics	3.78787878787879	-0.230802471440521	FALSE		Intermediate	4
GLRX	1.66190092020805	1.00001069281994	0.00177278410925713	0	0.0331633881983682	0	Differential dynamics	7	-3.55912728770445	FALSE		Late	3
