gene	p_condition	p_time	p_time_condition	padj_condition	padj_time	padj_time_condition	classification	trajectory_cluster
AAMP	0.286034407294753	0.000226264000374843	0.0655229817975571	0.888402866490071	0.00727991661957915	0.398598235272033	Shared dynamics	1
ABCA13	0.458480202172582	0.00160671085887654	0.284219891516056	0.89876636595615	0.0295844970193824	0.550657066924865	Shared dynamics	2
ABCB8	0.254947779563888	0.000993978283911956	0.545301664680217	0.888402866490071	0.0212078425712669	0.790358651774687	Shared dynamics	1
ABCC9	0.0451264571966884	6.2554377118218e-06	0.306363007035605	0.888402866490071	0.000497551469450332	0.562655177930481	Shared dynamics	3
ABI3	0.053624994569243	4.73948216817011e-06	0.477453837379479	0.888402866490071	0.000394110005979159	0.726623679107428	Shared dynamics	1
ABL2	0.309137705992723	0.000274252800470109	0.0501660166451013	0.888402866490071	0.00837077449195216	0.375836087132558	Shared dynamics	1
ACADSB	0.162642863592821	1.09942299018617e-05	0.288275221380131	0.888402866490071	0.000753950458269979	0.552340452543126	Shared dynamics	2
ACBD7	0.910483003965126	1.71584811798908e-05	0.0363086321899381	0.986564081476646	0.00104290930311643	0.338500868991684	Shared dynamics	2
ACOT7	0.972230925798734	0.000285980568055899	0.603185938247019	0.995685089430869	0.00863024010454727	0.829668993902052	Shared dynamics	1
ACPP	0.989041014101742	0.000983427792020819	0.117655800763542	0.999125503052068	0.0210835882145065	0.433355743352856	Shared dynamics	2
ACVRL1	0.0267999086471472	0.000152006105476776	0.0157968578352423	0.888402866490071	0.00543265886990517	0.248656973264894	Shared dynamics	4
ACYP1	0.324655540393419	0.00169111766630009	0.881953815858599	0.888402866490071	0.0304120151538803	0.943137419690046	Shared dynamics	5
ADARB1	0.0952145226744105	0.00156921785832126	0.113122871125771	0.888402866490071	0.0292975438888671	0.43049279178928	Shared dynamics	1
ADCK2	0.013643607026848	5.15341065120412e-05	0.192168891253218	0.798580184513632	0.00242868665843972	0.503063038881782	Shared dynamics	4
ADCY9	0.180173871726403	0.000179027130304543	0.100853255452677	0.888402866490071	0.0061189528434441	0.416012387442738	Shared dynamics	5
ADH4	0.00386644029323203	0.00106757613367137	0.777172340771552	0.50727028468503	0.0221744378686632	0.89858845734386	Shared dynamics	3
ADH5	0.584561271274407	0.000635450826155459	0.669943185759796	0.925906136321851	0.0154676972428011	0.853882263598059	Shared dynamics	1
ADIPOR2	0.614660970610201	7.54771697170087e-06	0.673586810110022	0.932939432506843	0.000564653679463328	0.855410678682612	Shared dynamics	4
ADM	0.107173578576621	0.000564870223177361	0.278212231341555	0.888402866490071	0.0141356295849156	0.54782952485526	Shared dynamics	5
ADNP	0.300168811610131	0.00319637011294011	0.145503958838383	0.888402866490071	0.0475422065636331	0.461139905327365	Shared dynamics	4
AEN	0.48506014700922	0.00185721494467173	0.380683419580365	0.905062082969326	0.0325446117577365	0.620328305136601	Shared dynamics	6
AES	0.250864466155316	0	0.183586709572819	0.888402866490071	0	0.496633982643445	Shared dynamics	1
AFAP1L1	0.115337019061966	0.00117701599122916	0.0978439848159768	0.888402866490071	0.0238028678150653	0.412662018512694	Shared dynamics	1
AFG3L1P	0.73514704546272	0.00101410645519368	0.376637575807624	0.952915964605679	0.0214617425473035	0.616331745466915	Shared dynamics	1
AGAP3	0.0186779349981095	4.30414069385598e-07	0.116107890167755	0.84668029071939	5.94138027649953e-05	0.432671666085689	Shared dynamics	4
AGMAT	0.704751411609028	0.0012916764680479	0.761221128756767	0.948058448761169	0.0254481673207669	0.89443485991512	Shared dynamics	3
AGO2	0.0250401851078736	0.000358514667014975	0.0479535685638202	0.888402866490071	0.00997239171395244	0.370402365700901	Shared dynamics	6
AGPAT6	0.158699750199667	0.000685179780906209	0.789147059173344	0.888402866490071	0.0162890073247436	0.901804596944356	Shared dynamics	6
AHNAK2	0.0471220412554399	1.69576730548737e-05	0.0430405351693992	0.888402866490071	0.00103961711370223	0.356113425222376	Shared dynamics	6
AIDA	0.944652397461964	1.5800973004465e-06	0.773985685272977	0.991978657307706	0.000160226359432954	0.897861696322472	Shared dynamics	4
AJUBA	0.690109451101576	0.00151741444178688	0.36252937134506	0.945722303226089	0.0286301581979472	0.602226586125691	Shared dynamics	1
AKAP12	0.333953142479002	1.48159224587219e-05	0.0445662106087422	0.888402866490071	0.000940657201563244	0.359763525164131	Shared dynamics	6
AKAP13	0.990730876781794	0.000110377694502783	0.15907827403643	0.999195264454747	0.0042783354195318	0.473595756069981	Shared dynamics	4
AKD1	0.867071383275096	0.00186990156403277	0.0440638726882836	0.978933976838785	0.0326481926241816	0.359569267749243	Shared dynamics	2
AKR1C1	0.00765883347648031	1.20608396086963e-06	0.3047375280651	0.660759681704728	0.000129026862133833	0.562655177930481	Shared dynamics	6
AKT1	0.428347328129635	0.00323602806857537	0.0714649679626471	0.892361943659363	0.047849382553724	0.398598235272033	Shared dynamics	5
ALG10B	0.194605581144329	6.07542671726691e-05	0.885077124008114	0.888402866490071	0.00277756047099664	0.944335360014451	Shared dynamics	3
ALX4	0.575767915472375	0.00137431990709719	0.113696012224688	0.923372670325188	0.0268044211141389	0.431089824128909	Shared dynamics	5
AMFR	0.31776448870691	0	0.00361064492302776	0.888402866490071	0	0.12875559795517	Shared dynamics	3
AMZ2P1	0.327161167634281	0.00315050671392492	0.847156478268369	0.888402866490071	0.0470835264975452	0.92771829302027	Shared dynamics	5
ANKLE1	0.253438248521766	0.000695391385832245	0.21335259402196	0.888402866490071	0.0164064716329198	0.518678798056342	Shared dynamics	2
ANKRD1	0.0536275256250557	0.000598490893923109	0.00444286109138559	0.888402866490071	0.0147356860372599	0.141761656087609	Shared dynamics	1
ANKRD11	0.658044469881961	0	0.00177397640928389	0.940157239108593	0	0.0819784001145534	Shared dynamics	6
ANKRD13D	0.249474445149091	4.11973104967323e-05	0.657728597261152	0.888402866490071	0.00207401801267784	0.846023870806757	Shared dynamics	6
ANKRD17	0.52591216630916	2.20715874721389e-05	0.193408071758855	0.915360145940856	0.00125263577069996	0.503940956373383	Shared dynamics	4
ANKRD20A9P	0.54414295965219	0	0.204169345381691	0.917354310004803	0	0.512107153764567	Shared dynamics	2
ANKRD40	0.762199546650701	0.00181054208019704	0.641004048899435	0.957704336210233	0.0319623418712012	0.837246123569094	Shared dynamics	1
ANKRD52	0.480867226769825	0.000196458616610495	0.525107549219475	0.904103630284191	0.00650685535758229	0.772018744478349	Shared dynamics	6
ANKS3	0.733998695845851	0.00319977948999356	0.436587914721662	0.952915964605679	0.0475433902554876	0.684690685581227	Shared dynamics	1
