pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.00285242456087675	0.0178276535054797	0.437415356388525	1.46964267216562	18	189	UBC/UQCRC1/COX8A/MGLL/DDT/PRDX3/IDH3G/SDHB/SDHC/COX7B/TKT/MTCH2/COX6A1/UQCR10/DECR1/QDPR/ALDOA/MGST3/RAB34/UQCRQ/MYLK/SCP2/CAT/CMBL/IDH3A/BCL6/HIBCH/ABCB8/MDH2/SOD1/CHCHD10/NDUFS3/SLC1A5/ACADS/DRAM2/AK2/DNAJC15/CYC1/SAMM50/TANK/ESRRA/TALDO1/NDUFB7/NKIRAS1/ETFB/CRAT/LPCAT3/ECH1/NMT1/DNAJB9/UQCR11/PDCD4/TST/ACO2/IMMT/BCKDHA
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00929152148664344	0.0387146728610143	0.513999482856024	1.5175546995007	55	71	S100A11/LGALS3/ETHE1/FDPS/ACAT2/FDFT1/LSS/ANXA5/EBP/MVK/GPX8/ACTG1/GSTM2/IDI1/CHKA/HSD17B7/FASN/CPEB2/HMGCS1/CTNNB1/LDLR/ECH1/FADS2/STARD4/PLSCR1/PLAUR/ERRFI1/PCYT2/MVD/PMVK
HALLMARK_DNA_REPAIR	0.00384911470361817	0.0213839705756565	0.457207625555982	1.49371833108674	24	146	NME1/FEN1/DAD1/EDF1/POLR2J/RBX1/ITPA/ZWINT/CETN2/GTF2H5/COX17/MRPL40/TARBP2/DGUOK/HPRT1/POLR2A/TAF9/RPA2/MPC2/POLR2E/NELFCD/POLE4/USP11/ERCC3/SUPT4H1/ERCC1/POLR1C/GTF2A2/IMPDH2/POLR2G/PDE4B/AK1/RFC2/POLR2F/DUT/SUPT5H/PCNA/APRT/TP53/POLR2K/ALYREF/POLR2H/MPG/ADA/CLP1
HALLMARK_E2F_TARGETS	0.00015008254539997	0.00128224855105914	0.489748950425375	1.65023528253189	0	195	NME1/ANP32E/TUBB/TUBG1/CKS1B/DDX39A/RANBP1/RRM2/BIRC5/HUS1/KPNA2/CKS2/CCNB2/HMGA1/MTHFD2/RBBP7/SMC4/SRSF1/DCTPP1/RPA2/STMN1/CENPE/POLE/EIF2S1/POLE4/CSE1L/XRCC6/NOP56/PTTG1/PAICS/KIF22/RFC2/AK2/CDC20/AURKB/EXOSC8/RAN/DUT/PCNA/SNRPB/TP53/MLH1/KIF2C/ORC2/CENPM/XPO1/ZW10/KIF4A/NAA38/STAG1/CDKN2A/NBN/TIMELESS/POP7/PSIP1/RPA1/MCM7/MCM5/DEK/CHEK1/RPA3/PA2G4/CCP110/EED/CDC25A/SRSF2/TCF19/NASP/PPM1D/ATAD2/DEPDC1/NUP205/PNN/UNG/ESPL1/UBE2S/BRCA1/TOP2A/DNMT1/DCLRE1B/CDKN3/TBRG4/TK1/PRPS1/PRIM2/CDKN1A/KIF18B/RAD1/ORC6/POLD2/CHEK2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000150240384615385	0.00128224855105914	0.483239614657503	1.62759252207928	0	194	LGALS1/CALD1/PRRX1/COL1A2/COL6A3/MYL9/COL1A1/TGM2/TPM2/COL7A1/INHBA/BGN/THY1/SPARC/COL6A2/COL3A1/COL4A2/TAGLN/COPA/SNAI2/EMP3/DCN/CAP2/MYLK/FBLN5/PDGFRB/WNT5A/SAT1/PDLIM4/TPM1/GREM1/VIM/PLOD3/IL15/GPX7/ACTA2/CTHRC1/RHOB/NT5E/GLIPR1/NID2/TNC/LUM/FBLN1/LRP1/GPC1/TPM4/CXCL12/CAPG/COL5A1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0101431980906921	0.0390123003488159	-0.382141162861041	-1.36927394707515	33	190	SH3BP5/FLNB/SLC7A5/SIAH2/ZNF185/LRIG1/NAV2/RAB31/SVIL/RBBP8/BAG1/RPS6KA2/SLC26A2/XBP1/NCOR2/SCARB1/ABHD2/STC2/UGCG/KLF10/ASB13/MYOF/MED13L/ABLIM1/SLC37A1/NADSYN1/IL6ST/AMFR/KRT8/RHOD/MYC/ABCA3/TSKU/KDM4B/PMAIP1/SNX24/CANT1/SLC1A4/BHLHE40/IL17RB/ELOVL5/SLC7A2/WFS1/FOS/FKBP5/TBC1D30/TIPARP/TFF3/TMEM164/ADCY9/SLC22A5/JAK2/ISG20L2/B4GALT1
HALLMARK_FATTY_ACID_METABOLISM	0.000153869826127096	0.00128224855105914	0.573509995722046	1.8840050643448	0	155	LGALS1/MIF/MGLL/ACAT2/FH/IDH3G/ADSL/SDHC/UBE2L6/DECR1/MDH1/ALDOA/PDHB/SUCLA2/SDHA/ALAD/LDHA/PSME1/TDO2/APEX1/CRYZ/S100A10/TP53INP2/HIBCH/ACADVL/PRDX6/MDH2/IDH3B/UROD/HSD17B10/BPHL/HADHB/NTHL1/IDI1/ACADS/HSDL2/HSD17B7/UGDH/FASN/RAP1GDS1/DHCR24/PTS/HMGCS1/SUCLG2/HSD17B4/CRAT/CBR1/ECH1
HALLMARK_GLYCOLYSIS	0.000150240384615385	0.00128224855105914	0.484528117811381	1.63193231135631	0	194	PPIA/GLRX/MIF/GALE/PSMC4/PKM/SDHC/COPB2/ENO1/GALK1/MDH1/ALDOA/PGLS/TXN/NDUFV3/PGK1/G6PD/CAPN5/STC1/LDHA/DCN/GOT2/HAX1/PGAM1/CHST2/CITED2/B4GALT4/STMN1/GNPDA1/GMPPA/HDLBP/MDH2/CHPF/GCLC/SOD1/KDELR3/NT5E/ANKZF1/POLR3K/GPC1/CHPF2/SAP30/ABCB6/COL5A1/TALDO1/GNE/NOL3/FAM162A/PGM2/DPYSL4/TPBG/TPI1/UGP2/EGFR
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00564102564102564	0.0282051282051282	-0.465908090283695	-1.4980170327344	21	82	PTPN1/TNFRSF1A/LTBR/STAT3/HMOX1/IFNAR1/IL10RB/STAT1/PTPN2/ACVRL1/CBL/IL6/TGFB1/TNFRSF12A/IL6ST/IRF9/SOCS3
HALLMARK_MITOTIC_SPINDLE	0.00269138755980861	0.0178276535054797	-0.404350363402806	-1.45566808155501	8	197	NIN/CLIP1/FLNB/MYO9B/TLK1/ARHGEF12/CDC42BPA/ROCK1/KLC1/ABL1/CEP250/PPP4R2/ABR/STAU1/KIF5B/DST/CLASP1/ARHGEF2/TUBA4A/RANBP9/PREX1/NF1/ATG4B/RALBP1/ARHGAP10/ALMS1/CCDC88A/DLG1/KATNA1/PCM1/MAP3K11/DYNC1H1/MAPRE1/PAFAH1B1/KIFAP3/SMC3/MYH9/PCGF5/CNTRL/BCL2L11/ITSN1/NCK2/ARL8A/NCK1/KIF3C/CDC42EP1/RABGAP1/MID1IP1/WASF2/BIN1/TRIO/ARF6/CD2AP/RFC1/RHOT2/KIF1B/SPTBN1/LATS1/CEP57/SHROOM1/MYH10/ARFGEF1/INCENP/CEP192/CSNK1D/PXN
HALLMARK_MTORC1_SIGNALING	0.00856627592425609	0.0387146728610143	0.413100841448125	1.391016211737	56	193	PPIA/GLRX/HSPE1/PSMC4/GAPDH/TUBG1/ENO1/DDX39A/QDPR/CYB5B/PPA1/ALDOA/RRM2/PSMA4/PSMB5/PGK1/G6PD/EBP/MTHFD2/STC1/LDHA/PSMD12/GPI/MLLT11/HPRT1/GLA/GCLC/USO1/EIF2S2/ACTR3/PSMC2/SLC1A5/IDI1/MAP2K3/PSMG1/FKBP2/STIP1/PSMD13/UFM1/NFKBIB/DHCR24/SRD5A1/HMBS/EEF1E1/COPS5/HMGCS1/FDXR/INSIG1/PHGDH/SORD/LDLR/FADS2/PDAP1/STARD4/TPI1/NMT1/CCNF/PSPH/IMMT/RPA1/CCNG1/PRDX1/BTG2/NFYC/CDC25A/SERPINH1/RIT1/FADS1/RRP9/SLC2A1/CALR/DHFR/NUP205/RPN1/PSME3/NUPR1/UNG/NUFIP1/ATP6V1D/CANX/PIK3R3/CACYBP/MTHFD2L
