sample_name	sample_ID	environment	HUVEC_condition	stroma	timepoint
Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day01
Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day01
Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day01
Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day01
Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day01
Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day01
Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day02
Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day02
Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day02
Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day02
Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day02
Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day02
Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day03
Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day03
Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day03
Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day03
Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day03
Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day03
Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day04
Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day04
Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day04
Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day04
Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day04
Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day04
Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day05
Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day05
Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day05
Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day05
Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day05
Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day05
Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day06
Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day06
Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day06
Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day06
Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day06
Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day06
Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump01	Pump	HUVEC-Gag-EIF4E	NHLF	Day07
Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02	Pump	HUVEC-Gag-EIF4E	NHLF	Day07
Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03	Pump	HUVEC-Gag-EIF4E	NHLF	Day07
Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump04	Pump	HUVEC-Gag-EIF4E	ESC	Day07
Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump05	Pump	HUVEC-Gag-EIF4E	ESC	Day07
Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump06	Pump	HUVEC-Gag-EIF4E	ESC	Day07
Pump07_Control_NHLF_Day01	Pump07	Pump	Control	NHLF	Day01
Pump07_Control_NHLF_Day02	Pump07	Pump	Control	NHLF	Day02
Pump07_Control_NHLF_Day03	Pump07	Pump	Control	NHLF	Day03
Pump07_Control_NHLF_Day04	Pump07	Pump	Control	NHLF	Day04
Pump07_Control_NHLF_Day05	Pump07	Pump	Control	NHLF	Day05
Pump07_Control_NHLF_Day06	Pump07	Pump	Control	NHLF	Day06
Pump07_Control_NHLF_Day07	Pump07	Pump	Control	NHLF	Day07
Pump08_Control_NHLF_Day01	Pump08	Pump	Control	NHLF	Day01
Pump08_Control_NHLF_Day02	Pump08	Pump	Control	NHLF	Day02
Pump08_Control_NHLF_Day03	Pump08	Pump	Control	NHLF	Day03
Pump08_Control_NHLF_Day04	Pump08	Pump	Control	NHLF	Day04
Pump08_Control_NHLF_Day05	Pump08	Pump	Control	NHLF	Day05
Pump08_Control_NHLF_Day06	Pump08	Pump	Control	NHLF	Day06
Pump08_Control_NHLF_Day07	Pump08	Pump	Control	NHLF	Day07
Pump09_Control_NHLF_Day01	Pump09	Pump	Control	NHLF	Day01
Pump09_Control_NHLF_Day02	Pump09	Pump	Control	NHLF	Day02
Pump09_Control_NHLF_Day03	Pump09	Pump	Control	NHLF	Day03
Pump09_Control_NHLF_Day04	Pump09	Pump	Control	NHLF	Day04
Pump09_Control_NHLF_Day05	Pump09	Pump	Control	NHLF	Day05
Pump09_Control_NHLF_Day06	Pump09	Pump	Control	NHLF	Day06
Pump09_Control_NHLF_Day07	Pump09	Pump	Control	NHLF	Day07
