gene	residual_var_repeated	residual_var_independent	p_time_rep	p_time_condition_rep	p_time_ind	p_time_condition_ind	padj_time_rep	padj_time_condition_rep	padj_time_ind	padj_time_condition_ind	significant
A1BG	0.650270443360795	0.650275346320554	0.126958584426488	0.0173314773336273	0.126958902822487	0.0173319280716638	0.448713471252035	0.25920969333696	0.457077685477022	0.288129443483353	FALSE
A1BG-AS1	0.208260225371933	0.208259455945383	0.106581272369335	0.0461397863253337	0.106606121794309	0.0461398801258297	0.410515374187992	0.364656148311164	0.419291283439528	0.397267152986822	FALSE
A1CF	0.0912082191473371	0.0936398673276857	0.220164807246894	0.628457794535443	0.21671738065014	0.637486272160789	0.593280214774479	0.829668993902052	0.595783763279051	0.842661555871617	FALSE
A2M	0.0878912362047775	0.0878912590290621	0.593110389009142	0.121380327679575	0.593112142353971	0.121382051283777	0.794367385238181	0.437605771265223	0.797323605515274	0.460885602354515	FALSE
A2M-AS1	0.0261786785383609	0.0261787648485209	0.740524768902626	0.656101658873806	0.740524686198241	0.543826349823907	0.861365708644616	0.845405064333872	0.863220807404132	0.775765623097027	FALSE
A2ML1	0.106533154696556	0.106533205683658	0.651775129149139	0.0792896588236427	0.651776643298444	0.079290446195275	0.809533988885688	0.398598235272033	0.813587817773615	0.429066308999995	FALSE
A2MP1	0.0782468964254334	0.0815412489453711	0.460097800264259	0.693355560376906	0.469116350758127	0.710099626662139	0.716831903768593	0.866836249259336	0.727765510060423	0.880361856631133	FALSE
A4GALT	0.654607670052139	0.777576604090855	0.0781732088524766	0.480304610016729	0.10422691294756	0.583053424737328	0.347934133988001	0.729380770844409	0.414813807556918	0.80657125736045	FALSE
A4GNT	0.00336984534123315	0.00421075347277682	0.0701908230229479	0.142649017092391	0.130754608508817	0.187595618575599	0.328557914481337	0.458105995916077	0.463720471350018	0.516654300006161	FALSE
AAAS	0.643523765083012	0.658084116920068	0.334556095925433	0.877772689357469	0.339739493688743	0.882226146471244	0.631293001429339	0.941158830443117	0.642666021840692	0.946028698937439	FALSE
AACS	1.37137361251591	1.58830910931541	0.351636845796229	0.61130186809094	0.386101041393484	0.722577921736397	0.645394189937982	0.829668993902052	0.675654104657756	0.884408913388606	FALSE
AACSP1	0.120491611233198	0.120492063349261	0.0405518137770826	0.462555650401917	0.0405539348348578	0.495955477876723	0.239188481818682	0.711695720983706	0.24643339668464	0.758405426959457	FALSE
AADAC	0.00432808582589557	0.00432859781659688	0.999057069643715	0.165418898830886	0.998683993738891	0.165446332714848	1	0.479807692502081	0.999987268873672	0.499308031469264	FALSE
AADACL2	0.0613178726762352	0.0613178739055267	0.792767748378587	0.350726837582014	0.792775846931053	0.350732319996402	0.891754310725422	0.589439275540395	0.893078082500753	0.601737528557695	FALSE
AADACL3	0.0357672978029886	0.0357672885138671	0.590296914309186	0.491879837935399	0.590296364596663	0.483588139237445	0.794367385238181	0.74080747491727	0.797323605515274	0.746957250008979	FALSE
AADACL4	0.000504501663231663	0.000580431380106473	0.323998315724323	0.259417159743502	0.323489758737644	0.29204196934929	0.624968319802428	0.539500422133843	0.631193298576186	0.568621196039574	FALSE
AADAT	0.205418743628601	0.205418727638963	0.344788220123976	0.864412393964933	0.344790317545153	0.85703217727074	0.639705927659781	0.93507497469959	0.645927119708965	0.934680591223611	FALSE
AAED1	0.370630677990698	0.398498951164775	0.0409826689280784	0.397947233859305	0.0479247487250916	0.458106676932517	0.240605630878272	0.640523509791145	0.271435721581594	0.720815594914556	FALSE
AAGAB	1.30422553523159	1.50354491705977	0.0545131381239427	0.898598259988937	0.0719870023212818	0.907430123468185	0.284340103193534	0.951849515853423	0.341666792738719	0.957844608755662	FALSE
