pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ANGIOGENESIS	0.0126569037656904	0.0452032277346085	0.640882167013288	1.40807794419632	120	34	JAG2/VAV2/PDGFA/S100A4/FSTL1/CCND2/TIMP1/COL3A1
HALLMARK_APICAL_JUNCTION	0.0103	0.0429166666666667	0.51701007040646	1.23251450781056	102	187	SHC1/HRAS/MMP2/VAV2/FLNC/INSIG1/INPPL1/JUP/ZYX/MYH9/PTEN/MYL9/PARVA/FSCN1/SIRPA/CAP1/TAOK2/PKD1/CD276/PCDH1/TJP1/PECAM1/TGFBI/GNAI2/ACTB/SORBS3/CTNND1/SRC/YWHAH/ACTN1/THY1/MAPK11/MVD/ACTG1/STX4/SHROOM2/ACTN4/CNN2/VWF/RAC2/WASL/NF1/PIK3CB/MAP4K2/MSN/NEXN/NLGN2/VASP/RRAS/SKAP2/ICAM2/CRAT/ARPC2/AKT2/PLCG1/MYL12B/IKBKG/JAM3
HALLMARK_DNA_REPAIR	0.0001000100010001	0.001000100010001	0.59877614078273	1.41922123911623	0	146	SEC61A1/VPS28/NELFB/NT5C/XPC/TK2/PNP/POLR2G/VPS37B/POLD4/NME1/NME4/AGO4/POLR2D/STX3/SSRP1/ERCC1/SMAD5/POLR2A/ADRM1/TARBP2/ALYREF/SAC3D1/PDE4B/POLR3GL/REV3L/CETN2/DCTN4/POLR2F/DGCR8/GTF3C5/MRPL40/DGUOK/RPA2/NELFE/GUK1/ERCC3/ARL6IP1/SURF1/POLR3C/GPX4/APRT/GTF2H1/PCNA/POLR1C/RALA/MPG/POLD1/ERCC2/SF3A3/DAD1/AK1/BCAP31/ADCY6/BOLA2/GTF2A2/POLD3/NCBP2/TAF10/ITPA/TAF1C/RBX1/ELL/USP11/SNAPC4/POM121/ZWINT/RNMT/CANT1/POLR2C/NELFCD/POLR2E/CLP1/TAF12/DDB1/POLR2I/TAF13/POLR1D/TAF9/DUT/DDB2/RRM2B/SNAPC5/TSG101
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1e-04	0.001000100010001	0.585391263201444	1.39678507354685	0	194	COL1A1/HTRA1/IGFBP4/RHOB/CALD1/THBS1/INHBA/COL1A2/COL6A3/MMP2/ITGA5/CXCL12/LGALS1/COL6A2/ITGB5/TPM1/DPYSL3/TGM2/PMEPA1/SPARC/FSTL1/TIMP1/MYL9/MGP/SERPINE2/EMP3/ANPEP/TPM2/TGFBI/MYLK/COL3A1/FN1/COL4A1/PFN2/CD59/LAMC1/FLNA/THY1/NT5E/BGN/TNFRSF12A/PDLIM4/COL5A1/TAGLN/PRRX1/FERMT2/DST/FBLN5/GPC1/ACTA2/SERPINH1/TPM4/VIM/SNAI2/PLOD3/RGS4/COL7A1/IGFBP3/NNMT/GREM1/COL4A2/FBN1
HALLMARK_G2M_CHECKPOINT	0.0023	0.0164285714285714	0.533929184407313	1.27308223391302	22	188	CCND1/CDC25B/ABL1/PURA/SMARCC1/UCK2/GSPT1/KPNA2/UPF1/TLE3/PAFAH1B1/SMC1A/BIRC5/ATF5/E2F3/CDK4/ODC1/CUL1/FOXN3/SLC7A1/HMGB3/SQLE/DDX39A/HIRA/SYNCRIP/HIF1A/CTCF/ILF3/CHMP1A/RPA2/DKC1/PRMT5/HNRNPU/NUP50/AMD1/E2F4/DTYMK/KATNA1/MCM3/TFDP1/ATRX/CUL3/KIF5B/NCL/HSPA8/EFNA5/SLC12A2/NUMA1/CDC27/CBX1/SMAD3/DR1/PDS5B/WRN/CCNB2/CKS1B/TOP1/SLC7A5/MYBL2/SMC2/SRSF1/CUL4A/EZH2/LIG3/PLK1/CHAF1A/NOLC1/SUV39H1/BUB3/CASP8AP2/SRSF10/YTHDC1/RASAL2/TNPO2/KIF23/MNAT1/MT2A/TPX2/MKI67/AURKA/SS18/NUP98/MTF2/MAPK14/CDC25A/CDC20/SNRPD1/SFPQ/DMD/LBR/KIF22/INCENP/MCM2/UBE2C/HNRNPD/SRSF2/ORC5/AURKB/EWSR1/MAD2L1/TOP2A/FBXO5/UBE2S/STMN1/HUS1/RBM14/CENPF/CUL5/CCNT1
HALLMARK_HEME_METABOLISM	0.009	0.0409090909090909	0.518068980971283	1.23557729830952	89	189	SEC14L1/TRAK2/LPIN2/ARHGEF12/RANBP10/FBXO7/CCND3/PGLS/KHNYN/RBM38/KLF3/NCOA4/UROD/SLC25A37/TNS1/FOXO3/HTRA2/GMPS/HTATIP2/VEZF1/TSPAN5/GYPC/MKRN1/GAPVD1/PIGQ/PICALM/GLRX5/ELL2/SLC7A11/BTRC/CAST/SNCA/DCAF10/CTSB/ALAD/ADD1/FBXO34/NEK7/CROCCP2/PSMD9/SLC25A38/UROS/RBM5/TNRC6B/SLC10A3/LRP10/XPO7/NARF/CDR2/RIOK3/CDC27/BLVRB/NFE2L1/MGST3/TOP1/CLCN3/BACH1/EZH1/TAL1/CAT/HDGF/MFHAS1/BMP2K/MXI1/EIF2AK1/HEBP1/BPGM/GDE1/KAT2B/FBXO9/SLC6A8/CPOX/MPP1/ARL2BP/NR3C1/DCUN1D1/LMO2/ENDOD1/RNF19A
HALLMARK_MITOTIC_SPINDLE	1e-04	0.001000100010001	0.593316115909326	1.41619849250327	0	197	PALLD/PREX1/PXN/AKAP13/CDC42EP1/BCR/FARP1/ARFGEF1/WASF2/SSH2/MYO9B/GSN/SPTAN1/ABR/SYNPO/ABL1/ARHGEF12/NET1/KIF3B/SPTBN1/APC/ARHGAP29/MYH9/NIN/PPP4R2/CAPZB/ATG4B/FSCN1/ARHGDIA/PAFAH1B1/SMC1A/TAOK2/NEDD9/PCNT/BIRC5/DYNC1H1/ARHGEF3/CLASP1/NCK2/ARHGEF11/RALBP1/CLIP1/CDC42EP2/SAC3D1/CEP250/FLNA/CDC42BPA/ARAP3/MYO1E/ARHGAP27/SHROOM2/ACTN4/ARHGEF7/CSNK1D/CYTH2/DST/ROCK1/TRIO/KATNB1/WASL/NF1/ALMS1/SORBS2/BCAR1/CNTROB/CDK5RAP2/KATNA1/EZR/MARK4/CDC42/KIF5B/DOCK4/ARF6/KIF1B/CDC42EP4/RHOT2/SMC3/LATS1/MAPRE1/NUMA1/CDC27/TSC1/UXT/CEP57/TBCD/RABGAP1/CCNB2/VCL/CKAP5/ARHGAP5/RAPGEF6/ARL8A/PLK1/PCM1/ARFIP2/DYNLL2/CEP192/CLIP2/GEMIN4/SOS1/KLC1/RANBP9/RASAL2/MYH10/FGD6/KIF23/KIF3C/MID1/TPX2/KIFAP3/FLNB/CNTRL/STAU1/AURKA/RAB3GAP1/LLGL1/SUN2/MAP3K11/CD2AP/RASA2/LRPPRC/KPTN/WASF1/ITSN1/KIF22/INCENP
HALLMARK_MTORC1_SIGNALING	0.0123	0.0452032277346085	0.512129390423591	1.22174853674573	122	193	ADIPOR2/RAB1A/PRDX1/MLLT11/SCD/INSIG1/PNP/SEC11A/GSK3B/USO1/PSMC2/YKT6/UCHL5/M6PR/PPIA/SHMT2/GMPS/PSMA4/BCAT1/PSMA3/ACLY/SERP1/GAPDH/SQSTM1/G6PD/TOMM40/SQLE/DDX39A/ARPC5L/STIP1/PSMC4/NFIL3/EEF1E1/ATP6V1D/GLRX/CDKN1A/PHGDH/SLC7A11/IFRD1/SERPINH1/ACTR3/PSMB5/PGK1/UBE2D3/TPI1/FADS2/PSMD12/GTF2H1/SKAP2/EBP/GGA2/ALDOA/ACTR2/PSMD14/ACSL3/DDIT4/RRP9/TES/IDI1/NMT1/EDEM1/PFKL/GBE1/RPN1/SLC6A6/CCT6A/PSME3/CANX/SLC7A5/IMMT/PDAP1/TUBG1/LTA4H/PLK1/LDHA/TXNRD1/FKBP2/CD9/GSR/NUPR1/SRD5A1/UFM1/PITPNB/NAMPT/HSPA4/COPS5/ME1/HSPD1/DHCR7/CYB5B/PSMC6/UNG/RIT1/AURKA/PIK3R3/CDC25A/NUFIP1/ATP2A2/MCM4/DHCR24/PSMG1/FADS1/BHLHE40/CYP51A1/ABCF2/ACACA/MCM2/SLC2A3/ENO1/PPA1
HALLMARK_MYC_TARGETS_V1	1e-04	0.001000100010001	0.62766143410459	1.49736463680544	0	193	PPM1G/U2AF1/GOT2/POLD2/EIF4G2/VDAC3/SMARCC1/HNRNPA2B1/UBA2/GSPT1/KPNA2/NME1/RANBP1/SNRPD2/RPS2/SRM/DHX15/PPIA/VBP1/VDAC1/PSMD7/RAN/CDK4/PSMA4/ODC1/PA2G4/CUL1/PCBP1/PHB2/PSMA7/PRPF31/PSMD1/SET/PSMD3/TUFM/SYNCRIP/XRCC6/STARD7/USP1/RPS10/PSMC4/PSMA1/SRSF7/RUVBL2/HNRNPA1/PRDX3/PSMD8/MRPL9/CCT7/RPLP0/HNRNPU/APEX1/SERBP1/HSP90AB1/IFRD1/PABPC1/CCT5/PGK1/TARDBP/EEF1B2/EXOSC7/CYC1/DDX18/FBL/PSMB3/EIF4H/TFDP1/HNRNPA3/RPS3/PCNA/CCT3/EIF3D/ILF2/SNRPA1/EIF3B/NAP1L1/TXNL4A/SF3A1/PSMD14/FAM120A/NCBP2/RRP9/MRPS18B/LSM7/SRSF3/PSMA6/SNRPB2/LSM2/NHP2/RPS5/SSB/EIF2S1/PSMA2/SSBP1/CANX/AIMP2/COX5A/PABPC4/HDGF/UBE2L3/RRM1/SRSF1/PWP1/SRPK1/LDHA/EIF4A1/CAD/TRIM28/RPL18/NOLC1/SNRPA/SNRPG/BUB3/RPL6/DUT/HNRNPR/COPS5/ACP1/HSPD1/HDDC2/NDUFAB1/TCP1/PSMC6/NOP56/RNPS1/RPL34/CDC20/RSL1D1/MCM4/PRDX4/SNRPD1/DDX21/MCM7/MCM2/HNRNPD/SRSF2/MRPL23/RPL14
HALLMARK_MYOGENESIS	0.0041	0.025625	0.528577414770534	1.26067783280313	40	190	COL1A1/KIFC3/DMPK/COL6A3/MAPK12/HDAC5/GSN/SPTAN1/FDPS/COL6A2/BAG1/ITGB5/SCD/PDLIM7/SPARC/NQO1/MYH9/NOTCH1/MYO1C/WWTR1/SVIL/TPM2/ADCY9/MYLK/COL3A1/MEF2D/SORBS3/SMTN/TAGLN/CDKN1A/MRAS/HBEGF/IFRD1/MYL6B/CRYAB/SH2B1/CRAT/BDKRB2/COX7A1/AKT2/IGFBP3/AK1/CNN3/COL4A2/MEF2C/SIRT2/FHL1
