gene	loading
S100A4	0.0625360874984578
DSP	0.0596083923143032
IGF2	0.0494125086750217
NEFM	0.0492190987198021
NET1	0.0489837479202092
LGALS1	0.0449010809052908
RAB13	0.043057267057247
PHLDA2	0.0428122557956224
SLC9A3R2	0.0427252791567022
NQO1	0.0424322110041155
CALD1	0.0424307791078155
QPRT	0.0421275358209243
PRKCDBP	0.0418966173700784
SPON2	0.0418341238218008
MYL12A	0.0408343608119017
FAM127A	0.0405535093691765
LOC541471	0.0396269306186506
PPIA	0.039626011199887
NME1	0.0387277894672748
CORO1C	0.0385030479820031
S100A6	0.0381951583247577
S100A11	0.0380586797767352
PRRX1	0.0379796561553772
RPL23A	0.037733956014638
RPL29	0.0375408109374586
COL1A2	0.0370617434630633
GLRX	0.0370502905748391
C12orf75	0.0370213141015424
LITAF	0.0366537101506709
TUBA1B	0.0365867465053462
UBC	0.0362759019054075
COL6A3	0.0362449242557069
MAP1A	0.0355825876131085
CRTAP	0.0355104201958849
LGALS3	0.0352268686602534
UQCRC1	0.0346969484795691
COX8A	0.0346514421685188
RPL27	0.0346158368226659
CARD16	0.033813908285272
COL6A1	0.0336800469999818
MIF	0.0334021095713616
TAX1BP3	0.0332333888901698
NOP10	0.0331817040684035
MYL9	0.0331555438636411
KANK2	0.0331504124637904
CALM2	0.0330057463850792
LINC00152	0.0329389683249476
ARHGAP22	0.0326590359942269
RPLP2	0.0323853590593643
ATP5G1	0.0323844389085061
TMSB4X	0.0321738977878324
MGLL	0.0320561179748318
RUVBL2	0.0317049432630424
SF3B5	0.0316952078271138
DIO2	0.0316407238195255
FEN1	0.0314568344107825
NDUFB4	0.031365145004535
COL1A1	0.0311584146594759
BANF1	0.0309113696786024
RPL32	0.0307515808456108
ETHE1	0.0306231184148529
CSNK2B	0.0305429721493549
HSPE1	0.030425350023194
CFL1	0.0303882851037633
RPS27	0.0302303955021836
SH3BGRL3	0.0300675785308068
TGM2	0.0299651602605205
ATP6V0D1	0.0298004825083841
RPLP1	0.0294980942224953
COX6B1	0.0294636853346278
CAV1	0.0293839011832999
TCEB2	0.0292390530958747
ANP32E	0.0291239690113639
RPS14	0.0289596475400962
PLIN3	0.0288582632401072
ACTB	0.0287809125919756
NBPF16	0.02863163887969
CD163L1	0.0285954471852205
RPL28	0.028518157027314
TPM2	0.0285140200199125
UACA	0.0285027611247489
SH3PXD2A	0.0284297315009362
ZC3H13	0.0284069456136366
COA3	0.0282348382207786
GALE	0.0280048003999051
RPL41	0.0279796755552313
MRPL14	0.0279699219231355
IFITM3	0.0278589382846706
TUBB4B	0.0278541545620993
PSMC4	0.0278167899159925
TMEM204	0.0277896597968497
FAHD1	0.0277823251512635
CIAPIN1	0.0276287547325786
GAPDH	0.0276017487412804
TUBB3	0.0274075427115056
FDPS	0.0273120432489694
UQCRH	0.0272692993240288
NDUFS7	0.0272055447321013
TUBB2A	0.0271987759690094
APC	0.0271688314534539
TCEAL3	0.0271602188910487
FAM101B	0.0270544834847037
OST4	0.0270178796151592
ZEB1	0.0269596808066224
DDT	0.0269079029730278
ZCCHC24	0.0268561549692468
EIF5A	0.0268516560894912
RPS29	0.0268195785643667
IAH1	0.026817682119552
EIF3L	0.0267657961507672
LDHB	0.0267024212641505
PRDX3	0.026668525286134
ARHGAP11A	0.0266674973044252
RSU1	0.0266665002051669
FBL	0.0266174458623486
DCTN3	0.0266001502783394
POU2F2	0.0265745789884042
COL7A1	0.0265391472938641
ATP5J2	0.0264887778523469
PALLD	0.0264368492400543
MIEN1	0.0263200637041532
EMC4	0.0261914196483132
DAD1	0.026145342138241
RPS18	0.0260525755311925
INHBA	0.0260258893513392
PLAU	0.0260151881466332
CCND2	0.0260083135229047
RPS13	0.0260016860822075
PAK1	0.0259014762576247
ZNHIT1	0.0258897138446151
DYNLL1	0.0258506041673993
UBB	0.0256802814648258
MYL6	0.0256614876715084
WDR83OS	0.0256384875129922
ACAT2	0.0256266103666929
C1orf115	0.0255637054935926
DUSP14	0.0255323611033175
GYPC	0.0255025309049666
PEF1	0.0254740078036568
RPL15	0.0254416728089731
FH	0.0253765472354461
RPL18A	0.0252528759214974
RPS15A	0.025245688505951
GAMT	0.0251788784521562
ANP32B	0.0251381686063061
UXT	0.0250384500624062
PKM	0.0250191032993374
GSTP1	0.0250144963788301
IDH3G	0.0249369569796873
CTTN	0.0249149823312545
NCL	0.0249126154042554
SRSF7	0.0248979894939939
NAGK	0.0248617969292808
ADSL	0.0247792163744311
SDHB	0.0246931037923401
BGN	0.0246761013638763
THY1	0.0246369589578444
GSTK1	0.0246366468756583
SERF2	0.0245833852230444
RPS26	0.0245268599294552
MLF2	0.0245110601330036
PPP2R1A	0.024506103950818
COPS6	0.0244753377401338
NCKAP5	0.0244751898005962
SDHC	0.0244743604219992
EDF1	0.0244080240173163
ALG3	0.0243754718286782
RNF157	0.0243455417998908
RPL30	0.0243364220623063
NPC2	0.0242480614906174
POLR2J	0.0241502839267838
SPARC	0.0241501258010503
COX7B	0.0241020021953575
RPS11	0.0240606708940629
TUBB	0.0240503970565978
LSM7	0.0239867759626459
SYNJ2BP	0.0239828373011731
CD248	0.0239699946773987
TUBG1	0.0239346534250019
ATP6V1F	0.0239311026288962
COL6A2	0.0238899555565419
RPL39	0.0238219929545183
ECHDC1	0.0237494197062477
HNRNPC	0.0237271918354502
AP5Z1	0.0236507466256856
H2AFJ	0.0236161206204595
TRAPPC4	0.0236119272888303
RPL31	0.0235888523003412
COPB2	0.0235724075405365
DPY30	0.0235457377919033
TMSB10	0.0235226650522592
RPSA	0.0234176982782288
TRAK2	0.0233331659008189
RPS27L	0.0233274232628031
RPS23	0.0233068777853822
RPL12	0.0231649642317225
RAB3B	0.023151418447399
ZYX	0.0231272060615727
MRPL53	0.0230767451228746
TKT	0.0230594707587324
IFI27L2	0.0230211967479068
RPS5	0.0230114899892635
MTCH2	0.0230025484157946
RBM4	0.0229580328730455
RPL26	0.022953795033604
YBX1	0.0229502567242121
COX6A1	0.0228860080038312
STRA13	0.0228761226270292
PPP1R3C	0.0228663583470269
UQCR10	0.0227971073263512
RBX1	0.0227947795871022
ENO1	0.022751793412871
CTSK	0.0227378313483309
PFN1	0.0225747847650112
GNB2L1	0.0225688414825648
UBE2L6	0.022548715392327
SMAD6	0.0224697297983904
FXN	0.0224555757389616
CKS1B	0.0224275717646855
DECR1	0.0223973271076645
CAPZB	0.0223854549649199
COL3A1	0.0223435687216495
MRPL18	0.022323968250455
GALK1	0.0223133696423508
CLEC11A	0.0221908395721211
CAPZA2	0.0221893802549139
MPHOSPH6	0.0221794999946241
FDFT1	0.0221362372460961
MRPS18B	0.022097965105141
PEPD	0.0219735028897413
DDX39A	0.0218792239628711
ITPA	0.0218594944963531
ASS1	0.0217709788758168
OAZ1	0.0217114775621254
ROMO1	0.0216843726494725
RPL13	0.0216091655764758
ERH	0.0216000074436119
MDH1	0.0215690639321372
RANBP1	0.0215329449257933
TSTA3	0.0214826666930207
PEX5	0.0214715041044005
SAP18	0.0214083042052267
CCND1	0.0213572572965533
RPL34	0.0212647598968884
COPG1	0.0211800878317253
TBC1D23	0.0210862857163878
CLSPN	0.021046361335824
PRPF38B	0.0209669305372402
RPS2	0.0209658109049147
DENND2A	0.0209087608870299
PPAPDC1B	0.0208920667098963
QDPR	0.0208707662639702
NOSIP	0.020863779317907
TSPYL2	0.020840279725332
BOLA3	0.0207998503258482
COL4A2	0.0207932488816282
EHD3	0.0207506025084318
C9orf123	0.0207423144158855
NIT2	0.0207348190837234
ERI3	0.0206835102632023
RPS24	0.0206769036314533
CCDC167	0.020673394460806
COX7A2	0.0206440274868448
TMEM258	0.0206400064445802
ZWINT	0.0206077735710439
SRA1	0.0206018793071941
RAB6A	0.0205927378311348
RPL19	0.0205701730558349
CDKN2B	0.0205241661208643
BTG3	0.0204889545686543
PRKAG1	0.0204882290903334
ARRDC4	0.0204481150226086
RPL22L1	0.0204084408871601
MRPL43	0.0204078030262621
ALAS1	0.0203455626045718
LOC654342	0.0203344246964733
PMM1	0.0203026688796774
TUBA1C	0.0202991481882283
CYB5B	0.0202691814996122
RPL18	0.0202495976903745
RPS12	0.0202381735431337
POLR2L	0.0201823325313459
PPA1	0.0201703963329496
RAB8A	0.0201489882260727
CLPTM1L	0.0201254716710138
MLX	0.0201252819628109
RABL5	0.020115387335296
COX6C	0.0200820546968961
PSMB3	0.0200813368285916
TPT1	0.0200390320272807
EIF3H	0.0200348426923576
ATPIF1	0.0200334768867786
ATOX1	0.0200328932656026
DSTN	0.020021943300836
CISD3	0.0200150973448819
ALDOA	0.0199689051708894
TAGLN	0.0198731853507536
MRPL36	0.0198659648598874
PPP5C	0.0198533491390949
CHMP7	0.0198238190637925
AP3S1	0.019821081384105
CHCHD2	0.0198192422712583
NDUFC1	0.0197856713503441
CHN1	0.0197529830736166
FAM73B	0.0197211640983488
RDH13	0.0196929299873633
AZI2	0.0196870954656578
PPP1CA	0.0196701571282011
SPTAN1	0.0196582939246756
TSR2	0.0196142648598186
TINF2	0.0195614971839799
