gs	p_time	p_time_condition	padj_time	padj_time_condition
HALLMARK_ADIPOGENESIS	0	0.213940575891304	0	0.370334165504944
HALLMARK_ALLOGRAFT_REJECTION	0.000138242732535543	0.0367545686565416	0.000309663720879616	0.11669876080993
HALLMARK_ANDROGEN_RESPONSE	5.72331472865062e-05	0.556712562499627	0.00015262172609735	0.708543261363162
HALLMARK_ANGIOGENESIS	0.00288099567327876	0.969484459829529	0.00460959307724602	0.969484459829529
HALLMARK_APICAL_JUNCTION	0.000100437982721968	0.155373728649036	0.000244134576668738	0.322256622383185
HALLMARK_APICAL_SURFACE	0.0423760612212267	0.749759290123141	0.0565014149616356	0.842076877519153
HALLMARK_APOPTOSIS	0.000602601115706147	0.149487627226234	0.00113193716951428	0.322256622383185
HALLMARK_BILE_ACID_METABOLISM	0.690627598921232	0.00662461314625995	0.703184464356163	0.0370978336190557
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.64613177208728e-05	0.302120381546985	5.42255171981692e-05	0.451375271104201
HALLMARK_COAGULATION	0.729856419165351	0.0357263664586207	0.729856419165351	0.11669876080993
HALLMARK_COMPLEMENT	0.212709925239908	0.903784537010759	0.24000392854449	0.920216983138227
HALLMARK_DNA_REPAIR	3.62281011989651e-06	0.099349603978043	1.3525157780947e-05	0.231815742615434
HALLMARK_E2F_TARGETS	0.000186372055968165	0.070038362425255	0.00037274411193633	0.178279467991558
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0117459370554442	0.00198409961918622	0.017777634462294	0.0167702588881296
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.211174528752363	0.0229396526750483	0.24000392854449	0.099873351764883
HALLMARK_ESTROGEN_RESPONSE_LATE	0.26228761983658	0.177504184966111	0.288002092369578	0.355008369932223
HALLMARK_FATTY_ACID_METABOLISM	0.00517658062474113	0.0259662695200387	0.00805245874959732	0.099873351764883
HALLMARK_G2M_CHECKPOINT	0	0.669653494789629	0	0.815230341483027
HALLMARK_GLYCOLYSIS	9.61856222447821e-08	0.446445728071396	7.69484977958257e-07	0.609779531024346
HALLMARK_HEDGEHOG_SIGNALING	0.00131313987949289	0.0883008600128066	0.00229799478911255	0.214993398292051
HALLMARK_HEME_METABOLISM	0.000155806976864237	0.851790275942642	0.000335584257861433	0.900004819863924
HALLMARK_HYPOXIA	1.08418949978928e-06	0.313591307392274	4.88251310247169e-06	0.451375271104201
HALLMARK_IL2_STAT5_SIGNALING	0.000104629104286602	0.00373955934168402	0.000244134576668738	0.023268369237145
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0417850605112867	0.198538636038418	0.0565014149616356	0.364248179538835
HALLMARK_INFLAMMATORY_RESPONSE	0.000167230708941646	0.892236566871796	0.000346848877804895	0.920216983138227
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.503240357172687	0.836641968274811	0.540055850215172	0.900004819863924
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.190390367921125	0.28510914685904	0.231779578338761	0.443503117336284
HALLMARK_KRAS_SIGNALING_DN	0	0.314350635233283	0	0.451375271104201
HALLMARK_KRAS_SIGNALING_UP	0.0752469237275672	0.218232633243985	0.0979959936917154	0.370334165504944
HALLMARK_MITOTIC_SPINDLE	4.39014298081464e-07	0.0237064153902269	2.234981881142e-06	0.099873351764883
HALLMARK_MTORC1_SIGNALING	0	0.375572509419353	0	0.525801513187094
HALLMARK_MYC_TARGETS_V1	2.68166957731464e-05	0.000311222290609869	8.34297201831221e-05	0.0058094827580509
HALLMARK_MYC_TARGETS_V2	8.06321790715048e-05	0.233602017053167	0.000205245546727467	0.384756263381686
HALLMARK_MYOGENESIS	2.34264727727584e-07	0.6611861805857	1.55129260232595e-06	0.815230341483027
HALLMARK_NOTCH_SIGNALING	3.46090506808672e-07	0.0375103159746203	1.93810683812856e-06	0.11669876080993
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00095579663083406	0.00228600875682172	0.00172660036537766	0.0167702588881296
HALLMARK_P53_PATHWAY	0	0.201637385101855	0	0.364248179538835
HALLMARK_PANCREAS_BETA_CELLS	0.625214055953824	0.188803701287098	0.648370132100262	0.364248179538835
HALLMARK_PEROXISOME	0.040354022396745	0.721241908392283	0.056495631355443	0.842076877519153
HALLMARK_PI3K_AKT_MTOR_SIGNALING	6.65777321456895e-06	0.828233015976991	2.33022062509913e-05	0.900004819863924
HALLMARK_PROTEIN_SECRETION	5.50880974206636e-05	0.751854354927815	0.00015262172609735	0.842076877519153
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0921084057210377	0.00180917335317288	0.11462379378618	0.0167702588881296
HALLMARK_SPERMATOGENESIS	0.511124286810787	0.284336996380112	0.540055850215172	0.443503117336284
HALLMARK_TGF_BETA_SIGNALING	0.0877966259733462	5.15152342992486e-05	0.111741160329713	0.00144242656037896
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000606394912239794	0.481355524839295	0.00113193716951428	0.637978326339922
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.13344054164521e-06	0.736346895059104	4.88251310247169e-06	0.842076877519153
HALLMARK_UV_RESPONSE_DN	0.00229736264082475	0.0267517906513079	0.00378389140841724	0.099873351764883
HALLMARK_UV_RESPONSE_UP	0.0143173689069012	0.0537098031838508	0.0210992804943807	0.150387448914782
HALLMARK_WNT_BETA_CATENIN_SIGNALING	3.54032686691874e-05	0.15144276222818	0.000104346476077605	0.322256622383185
HALLMARK_XENOBIOTIC_METABOLISM	0.205271026509035	0.00239575126973279	0.24000392854449	0.0167702588881296
GOBP_BLOOD_VESSEL_REMODELING	0.214289221914723	0.0250125936760786	0.24000392854449	0.099873351764883
GOBP_ENDOTHELIAL_CELL_MIGRATION	2.49314882516671e-07	0.041246042276073	1.55129260232595e-06	0.121567282497899
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	0.0219345222994089	4.84162980676217e-05	0.0314957243273564	0.00144242656037896
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	3.42801638036905e-06	0.489876214868154	1.3525157780947e-05	0.637978326339922
GOBP_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS	0.00153655622174886	0.0697967405925471	0.00260748934599807	0.178279467991558
GOBP_VASCULATURE_DEVELOPMENT	0	0.000586775998274947	0	0.00821486397584925
