Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump07_Control_NHLF_Day01	Pump07_Control_NHLF_Day02	Pump07_Control_NHLF_Day03	Pump07_Control_NHLF_Day04	Pump07_Control_NHLF_Day05	Pump07_Control_NHLF_Day06	Pump07_Control_NHLF_Day07	Pump08_Control_NHLF_Day01	Pump08_Control_NHLF_Day02	Pump08_Control_NHLF_Day03	Pump08_Control_NHLF_Day04	Pump08_Control_NHLF_Day05	Pump08_Control_NHLF_Day06	Pump08_Control_NHLF_Day07	Pump09_Control_NHLF_Day01	Pump09_Control_NHLF_Day02	Pump09_Control_NHLF_Day03	Pump09_Control_NHLF_Day04	Pump09_Control_NHLF_Day05	Pump09_Control_NHLF_Day06	Pump09_Control_NHLF_Day07
A1BG	0	0	0	0	0	0	0	114.241	0	0	0	0	98.4326	7.0914	0	20.156	0	0.492553	34.6104	36.5512	0	32.2185	0.238125	55.6114	40.181	46.6708	39.9486	35.6215	44.0354	32.2613	0	0	2.468	23.7961	41.1339	22.7456	19.5765	27.8222	19.8728	16.8711	42.46	75.2649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	11.2809	0.590496	4.4975	0	0	0	0	2.21559	0	1.58903	0	1.14562	0.314875	0	0.223327	1.00397	0	0	0	0.195321	3.35869	0	0.521592	0	0	0.0972633	0.667125	0	0.259808	3.06115	9.47055	0.0908384	21.0194	0	0.191037	0.246997	0.0750951	36.4225	0.167464	0	0	0	8.45999	0	2.68992	0	0	0	0	0	0	0	0	0	0	0	0	0	8.89737	0
A1CF	0.4117035471344	5.16730761575	0.0843376201165	2.90773882631	0.498461966901	0.8378281488311	0.129751969623	0	0.188177151543	0.0574120222935	1.2209746408395	0.506777444975	0.1698958343125	0.440987357372	0	0.710586	0.898545800197	0.1725446382613	1.65831590550937	0.3084584245376	0.535974990526	1.71973	0.703331	0.2824379085585	0.208331648222	0.3144607505035	0.1147430791559	0.4347447091328	0.04013022899139	0.2396816122663	0.38269267162568	0.5130135073235	0.0981482952855	0.4141319875325	0.794320449229	0.2501635306297	0.0438690795447	1.199649476606	0.372713365258	0.0959905273567	0.1138429748689	0.1433200787096	21.72095672925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	1.51065	1.06093	0	0	0	8.3336	0	0	0	0	0	0.134841	0.121517	0	0	0	0	0	1.09971	0.333954	0.037946	0.0410795	0	0	0	4.06289	0	1.29878	0	0.0730157	0	0.0316817	0	0	0	0.0648798	0	0	0	0	0	0	0	0	3.81812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18829	0	0	8.96976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	4.1248	0	0	6.51936	0	1.24605	0	0	0.756013	0.16166	11.338	0.157125	1.20925	0	0	0.0874291	0.320719	1.36725	0.317257	0	3.03413	3.43354	0.710062	2.10149	0	0.287334	0.503585	0.057689	0.104733	0.439968	2.69581	0.221228	0.374998	0.0991052	0.268403	0.0827795	0.335095	0.542868	0.420705	0.137381	0.247373	0.170008	0	0	0	0	12.3537	0	0	0	0	0	0	0	0	0	0	0	47.5523	0	0	0	0
A2MP1	0	0	0	0	0	0	33.3069	0	0	0	0	0	0	0	0	7.08917	0	0	0	0	0	0.395522	0	0.207436	3.48169	0	0.399299	0	0	3.58818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	31.3618	0	0.39925	1.76552	42.9094	0	97.1953	0.821354	11.6188	27.1422	22.9904	0.84059	10.2753	4.48383	1.42209	26.9716	1.70382	60.9165	56.8085	4.84997	20.439	80.8164	30.4339	0	10.1092	0.0960735	5.77701	82.3037	0	14.5741	43.2992	8.05243	2.04767	3.40669	11.9642	7.69844	35.3167	38.4464	112.693	12.7951	10.4131	15.9985	0	0	0	8.62759	0	0	0	0	0	0	0	0	9.86465	0	0	0	0	0	0	0	8.57919
A4GNT	0	0.552268	0	1.06008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317199	0	0	0	0	0	0.335503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
