Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump07_Control_NHLF_Day01	Pump07_Control_NHLF_Day02	Pump07_Control_NHLF_Day03	Pump07_Control_NHLF_Day04	Pump07_Control_NHLF_Day05	Pump07_Control_NHLF_Day06	Pump07_Control_NHLF_Day07	Pump08_Control_NHLF_Day01	Pump08_Control_NHLF_Day02	Pump08_Control_NHLF_Day03	Pump08_Control_NHLF_Day04	Pump08_Control_NHLF_Day05	Pump08_Control_NHLF_Day06	Pump08_Control_NHLF_Day07	Pump09_Control_NHLF_Day01	Pump09_Control_NHLF_Day02	Pump09_Control_NHLF_Day03	Pump09_Control_NHLF_Day04	Pump09_Control_NHLF_Day05	Pump09_Control_NHLF_Day06	Pump09_Control_NHLF_Day07
A1BG	0	0	0	0	0	0	0	231	0	0	0	0	509	21	0	106	0	2	253	169	0	253	1	415	376	403	310	331	391	237	0	0	22	232	374	255	157	248	131	185	456.839	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	26.0642	1.02448	9.25032	0	0	0	0	8.25553	0	10.0932	0	3.28626	2.03598	0	1.11415	9.01103	0	0	0	1.00795	30.7804	0	5.53694	0	0	1.0609	6.02199	0	2.0072	33.5416	113.399	1.01428	289.588	0	2.09288	2.0005	1.0115	481.561	2.02821	0	0	0	1	0	0.346078	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11594	0
A1CF	2.04657257669	53.2084572111	1.001559441216	31.22734113512	4.01996618932	8.021300686218	0.9999997007	0	3.00293150016	1.06322657837	21.160690567252	17.18028523988	5.01374540805	7.46754282443	0	21.4729	15.01985813568	4.002703602863	69.0543307136152	8.12406644228	19.26653755062	78.1665	17.0618	12.01658853453	11.15210293421	15.55355651991	5.08281164734	23.03309412325	2.034194026182	10.06379776226	21.7456975163104	18.45601453523	5.00857639684	23.02639653414	41.17414128833	16.03787581291	2.00347265403	61.1819800134	14.0382723139	6.00763568466	7.00332038184	8.06871873297	8.99999859909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	6	5	0	0	0	76	0	0	0	0	0	2	1	0	0	0	0	0	13	7	1	1	0	0	0	84	0	23	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	11.3207	0	0	38.6306	0	4.73909	0	0	4.79006	1.18991	78.0871	2.11577	14.1884	0	0	1.04629	2.1299	12.6062	5.25564	0	60.1783	61.3362	6.77421	35.5598	0	7.83724	12.3089	1.21556	2.11054	7.34133	60.8899	3.16139	7.60083	2.19138	5.53345	2.10863	6.08871	10.9988	6.29768	3.41837	6.04675	3.8046	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
A2MP1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	24	0	0	0	0	0	2	0	1	21	0	2	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	33	0	1	4	73	0	158	2	39	106	84	6	64	16	4	171	6	298	500	27	155	765	154	0	114	1	54	921	0	129	519	61	22	40	131	104	341	413	895	169	135	190	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
A4GNT	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
