STAR version=2.7.10a
STAR compilation time,server,dir=2022-09-23T14:14:35-0400 scs-build-rhel7.broadinstitute.org:/tmp/redhat_7_x86_64/star_2.7.10a-build/STAR-2.7.10a/source
STAR git: 
##### Command Line:
STAR --runThreadN 8 --runMode genomeGenerate --genomeDir hg38_STAR_index --genomeFastaFiles /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa --sjdbGTFfile /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf --sjdbOverhang 149
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    8     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     hg38_STAR_index     ~RE-DEFINED
genomeFastaFiles              /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  149     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        8
genomeDir                         hg38_STAR_index
genomeFastaFiles                  /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa   
sjdbGTFfile                       /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf
sjdbOverhang                      149

-------------------------------
##### Final effective command line:
STAR   --runMode genomeGenerate      --runThreadN 8   --genomeDir hg38_STAR_index   --genomeFastaFiles /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa      --sjdbGTFfile /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf   --sjdbOverhang 149
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: hg38_STAR_index/
Mar 20 21:44:18 ... starting to generate Genome files
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 0  "chr1" chrStart: 0
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 1  "chr2" chrStart: 249036800
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 2  "chr3" chrStart: 491257856
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 3  "chr4" chrStart: 689700864
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 4  "chr5" chrStart: 880017408
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 5  "chr6" chrStart: 1061683200
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 6  "chr7" chrStart: 1232601088
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 7  "chr8" chrStart: 1391984640
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 8  "chr9" chrStart: 1537212416
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 9  "chr10" chrStart: 1675624448
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 10  "chr11" chrStart: 1809580032
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 11  "chr12" chrStart: 1944846336
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 12  "chr13" chrStart: 2078277632
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 13  "chr14" chrStart: 2192834560
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 14  "chr15" chrStart: 2300051456
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 15  "chr16" chrStart: 2402287616
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 16  "chr17" chrStart: 2492727296
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 17  "chr18" chrStart: 2576089088
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 18  "chr19" chrStart: 2656567296
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 19  "chr20" chrStart: 2715287552
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 20  "chr21" chrStart: 2779774976
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 21  "chr22" chrStart: 2826698752
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 22  "chrX" chrStart: 2877554688
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 23  "chrY" chrStart: 3033792512
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 24  "chrM" chrStart: 3091202048
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 25  "GL000008.2" chrStart: 3091464192
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 26  "GL000009.2" chrStart: 3091726336
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 27  "GL000194.1" chrStart: 3091988480
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 28  "GL000195.1" chrStart: 3092250624
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 29  "GL000205.2" chrStart: 3092512768
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 30  "GL000208.1" chrStart: 3092774912
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 31  "GL000213.1" chrStart: 3093037056
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 32  "GL000214.1" chrStart: 3093299200
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 33  "GL000216.2" chrStart: 3093561344
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 34  "GL000218.1" chrStart: 3093823488
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 35  "GL000219.1" chrStart: 3094085632
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 36  "GL000220.1" chrStart: 3094347776
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 37  "GL000221.1" chrStart: 3094609920
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 38  "GL000224.1" chrStart: 3094872064
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 39  "GL000225.1" chrStart: 3095134208
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 40  "GL000226.1" chrStart: 3095396352
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 41  "KI270302.1" chrStart: 3095658496
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 42  "KI270303.1" chrStart: 3095920640
